analyzer-1  | 2025-04-30 22:32:00,851 - analyzer.strategies.base_strategy - INFO - [Divergence_Strategy] Données ajoutées pour ETHUSDC: close=1793.9, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,853 - analyzer.strategies.base_strategy - INFO - [Breakout_Strategy] Données ajoutées pour ETHUSDC: close=1793.9, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,854 - analyzer.strategies.base_strategy - INFO - [Bollinger_Strategy] Données ajoutées pour ETHUSDC: close=1793.9, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,854 - analyzer.strategies.base_strategy - INFO - [RSI_Strategy] Données ajoutées pour ETHUSDC: close=1793.9, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,854 - analyzer.strategies.base_strategy - INFO - [Ride_or_React_Strategy] Données ajoutées pour ETHUSDC: close=1793.9, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,856 - analyzer.strategies.base_strategy - INFO - [EMA_Cross_Strategy] Données ajoutées pour ETHUSDC: close=1793.9, time=2025-04-30 22:31:00



dispatcher-1  | 2025-04-30 22:31:54,832 - dispatcher.src.message_router - DEBUG - Message routé: market.data.ethusdc -> roottrading:market:data:ethusdc
dispatcher-1  | 2025-04-30 22:31:54,832 - dispatcher - DEBUG - Message routé depuis market.data.ethusdc
dispatcher-1  | 2025-04-30 22:31:56,833 - dispatcher.src.message_router - DEBUG - Message routé: market.data.ethusdc -> roottrading:market:data:ethusdc
dispatcher-1  | 2025-04-30 22:31:56,834 - dispatcher - DEBUG - Message routé depuis market.data.ethusdc
dispatcher-1  | 2025-04-30 22:31:58,835 - dispatcher.src.message_router - DEBUG - Message routé: market.data.btcusdc -> roottrading:market:data:btcusdc
dispatcher-1  | 2025-04-30 22:31:58,835 - dispatcher - DEBUG - Message routé depuis market.data.btcusdc
dispatcher-1  | 2025-04-30 22:31:58,836 - dispatcher.src.message_router - DEBUG - Message routé: market.data.ethusdc -> roottrading:market:data:ethusdc
dispatcher-1  | 2025-04-30 22:31:58,837 - dispatcher - DEBUG - Message routé depuis market.data.ethusdc
dispatcher-1  | 2025-04-30 22:32:00,838 - dispatcher.src.message_router - INFO - Message transformé: market.data.btcusdc -> BTCUSDC @ 94334.01
